Date,TimePST,BuoyTempAG,BuoypHAG,EdgeTempCS,EdgepHCS,MidTempP1,MidpHP1
4/26/18,12:00:00,11.224,7.892,11.219,7.869,11.287,7.884
4/26/18,12:10:00,11.373,7.909,11.199,7.876,11.246,7.871
4/26/18,12:20:00,11.395,7.918,11.167,7.876,11.2,7.877
4/26/18,12:30:00,11.311,7.919,11.115,7.875,11.149,7.883
4/26/18,12:40:00,11.556,7.924,11.076,7.875,11.101,7.881
4/26/18,12:50:00,11.489,7.93,10.991,7.871,11.018,7.881
4/26/18,13:00:00,11.269,7.911,10.927,7.866,10.978,7.871
4/26/18,13:10:00,11.194,7.901,10.884,7.864,10.92,7.872
4/26/18,13:20:00,11.163,7.901,10.829,7.859,10.896,7.866
4/26/18,13:30:00,11.102,7.898,10.84,7.858,10.883,7.867
4/26/18,13:40:00,11.068,7.906,10.893,7.861,10.902,7.87
4/26/18,13:50:00,11.056,7.908,10.962,7.866,10.927,7.856
4/26/18,14:00:00,11.114,7.921,11.06,7.869,11.027,7.862
4/26/18,14:10:00,11.23,7.934,11.172,7.872,11.103,7.887
4/26/18,14:20:00,11.22,7.928,11.297,7.907,11.247,7.909
4/26/18,14:30:00,11.038,7.902,11.304,7.901,11.348,7.905
4/26/18,14:40:00,10.995,7.904,11.313,7.884,11.333,7.892
4/26/18,14:50:00,11.023,7.916,11.343,7.874,11.35,7.884
4/26/18,15:00:00,11.026,7.92,11.37,7.893,11.436,7.897
4/26/18,15:10:00,11.041,7.921,11.403,7.896,11.429,7.903
4/26/18,15:20:00,11.066,7.923,11.353,7.893,11.388,7.89
4/26/18,15:30:00,11.117,7.932,11.388,7.891,11.317,7.887
4/26/18,15:40:00,11.099,7.932,11.44,7.892,11.195,7.869
4/26/18,15:50:00,11.091,7.926,11.386,7.889,11.276,7.878
4/26/18,16:00:00,11.269,7.94,11.374,7.875,11.234,7.884
4/26/18,16:10:00,11.302,7.936,11.37,7.872,11.293,7.877
4/26/18,16:20:00,11.289,7.935,11.383,7.875,11.281,7.879
4/26/18,16:30:00,11.436,7.956,11.366,7.881,11.303,7.882
4/26/18,16:40:00,11.355,7.944,11.406,7.87,11.365,7.883
4/26/18,16:50:00,11.31,7.922,11.437,7.876,11.282,7.887
4/26/18,17:00:00,11.284,7.922,11.242,7.885,11.217,7.879
4/26/18,17:10:00,11.203,7.906,11.195,7.873,11.226,7.887
4/26/18,17:20:00,11.277,7.928,11.249,7.883,11.313,7.898
