Week,Species,Treatment,Trmt_type,Rep,Ingestion_rate,Ingestion_energy_j/mgdw
0,Olympia,7.7constant,Static,1,12.49358,292.349772
0,Olympia,7.7constant,Static,2,19.74353333,461.99868
0,Olympia,7.7constant,Static,3,19.00814667,444.790632
0,Olympia,7.7fluctuating0.2Amp,Dynamic,1,11.40648667,266.911788
0,Olympia,7.7fluctuating0.2Amp,Dynamic,2,13.25294667,310.118952
0,Olympia,7.7fluctuating0.2Amp,Dynamic,3,14.17218,331.629012
0,Olympia,7.7fluctuating0.5Amp,Dynamic,1,13.55669333,317.226624
0,Olympia,7.7fluctuating0.5Amp,Dynamic,2,18.97617333,444.042456
0,Olympia,7.7fluctuating0.5Amp,Dynamic,3,22.70906,531.392004
0,Olympia,8.0constant,Static,1,9.7119,227.25846
0,Olympia,8.0constant,Static,2,12.54154,293.472036
0,Olympia,8.0constant,Static,3,14.87559333,348.088884
0,Pacific,7.7constant,Static,1,13.19699333,308.809644
0,Pacific,7.7constant,Static,2,14.20415333,332.377188
0,Pacific,7.7constant,Static,3,20.15918667,471.724968
0,Pacific,7.7fluctuating0.2Amp,Dynamic,1,16.41830667,384.188376
0,Pacific,7.7fluctuating0.2Amp,Dynamic,2,12.32572,288.421848
0,Pacific,7.7fluctuating0.2Amp,Dynamic,3,15.65094667,366.232152
0,Pacific,7.7fluctuating0.5Amp,Dynamic,1,17.57734,411.309756
0,Pacific,7.7fluctuating0.5Amp,Dynamic,2,14.54786667,340.42008
0,Pacific,7.7fluctuating0.5Amp,Dynamic,3,12.45361333,291.414552
0,Pacific,8.0constant,Static,1,11.56635333,270.652668
0,Pacific,8.0constant,Static,2,14.91556,349.024104
0,Pacific,8.0constant,Static,3,8.0333,187.97922
2,Olympia,7.7constant,Static,1,5.055783333,118.30533
2,Olympia,7.7constant,Static,2,17.475425,408.924945
2,Olympia,7.7constant,Static,3,7.503741667,175.587555
2,Olympia,7.7constant,Static,4,3.986675,93.288195
2,Olympia,7.7fluctuating0.2Amp,Dynamic,1,5.845125,136.775925
2,Olympia,7.7fluctuating0.2Amp,Dynamic,2,5.965025,139.581585
2,Olympia,7.7fluctuating0.2Amp,Dynamic,3,1.598666667,37.4088
2,Olympia,7.7fluctuating0.2Amp,Dynamic,4,8.922558333,208.787865
2,Olympia,7.7fluctuating0.5Amp,Dynamic,1,11.50040833,269.109555
2,Olympia,7.7fluctuating0.5Amp,Dynamic,2,10.81098333,252.97701
2,Olympia,7.7fluctuating0.5Amp,Dynamic,3,11.93005,279.16317
2,Olympia,7.7fluctuating0.5Amp,Dynamic,4,12.2298,286.17732
2,Olympia,8.0constant,Static,1,3.726891667,87.209265
2,Olympia,8.0constant,Static,2,-0.229808333,-5.377515
2,Olympia,8.0constant,Static,3,12.42963333,290.85342
2,Olympia,8.0constant,Static,4,-10.50124167,-245.729055
2,Pacific,7.7constant,Static,1,20.30306667,475.09176
2,Pacific,7.7constant,Static,2,18.14486667,424.58988
2,Pacific,7.7constant,Static,3,14.81764167,346.732815
2,Pacific,7.7constant,Static,4,21.88175,512.03295
2,Pacific,7.7fluctuating0.2Amp,Dynamic,1,2.987508333,69.907695
2,Pacific,7.7fluctuating0.2Amp,Dynamic,2,5.415483333,126.72231
2,Pacific,7.7fluctuating0.2Amp,Dynamic,3,6.194833333,144.9591
2,Pacific,7.7fluctuating0.2Amp,Dynamic,4,22.25144167,520.683735
2,Pacific,7.7fluctuating0.5Amp,Dynamic,1,5.415483333,126.72231
2,Pacific,7.7fluctuating0.5Amp,Dynamic,2,6.05495,141.68583
2,Pacific,7.7fluctuating0.5Amp,Dynamic,3,4.3164,101.00376
2,Pacific,7.7fluctuating0.5Amp,Dynamic,4,3.736883333,87.44307
2,Pacific,8.0constant,Static,1,9.901741667,231.700755
2,Pacific,8.0constant,Static,2,10.53121667,246.43047
2,Pacific,8.0constant,Static,3,13.95835833,326.625585
2,Pacific,8.0constant,Static,4,19.04411667,445.63233
4,Olympia,8.0constant,Static,1,66.25674,1550.407716
4,Olympia,8.0constant,Static,2,48.1998,1127.87532
4,Olympia,8.0constant,Static,3,45.82578,1072.323252
4,Olympia,8.0constant,Static,4,44.69872,1045.950048
4,Olympia,7.7fluctuating0.2Amp,Dynamic,1,42.6844,998.81496
4,Olympia,7.7fluctuating0.2Amp,Dynamic,2,33.61996,786.707064
4,Olympia,7.7fluctuating0.2Amp,Dynamic,3,42.10888,985.347792
4,Olympia,7.7fluctuating0.2Amp,Dynamic,4,42.01296,983.103264
4,Olympia,7.7fluctuating0.5Amp,Dynamic,1,40.19048,940.457232
4,Olympia,7.7fluctuating0.5Amp,Dynamic,2,38.10422,891.638748
4,Olympia,7.7fluctuating0.5Amp,Dynamic,3,43.37982,1015.087788
4,Olympia,7.7fluctuating0.5Amp,Dynamic,4,52.30038,1223.828892
4,Pacific,8.0constant,Static,1,41.98898,982.542132
4,Pacific,8.0constant,Static,2,43.164,1010.0376
4,Pacific,8.0constant,Static,3,34.2914,802.41876
4,Pacific,8.0constant,Static,4,58.79896,1375.895664
4,Pacific,7.7fluctuating0.2Amp,Dynamic,1,22.39732,524.097288
4,Pacific,7.7fluctuating0.2Amp,Dynamic,2,25.94636,607.144824
4,Pacific,7.7fluctuating0.2Amp,Dynamic,3,23.35652,546.542568
4,Pacific,7.7fluctuating0.2Amp,Dynamic,4,23.06876,539.808984
4,Pacific,7.7fluctuating0.5Amp,Dynamic,1,53.4754,1251.32436
4,Pacific,7.7fluctuating0.5Amp,Dynamic,2,57.26424,1339.983216
4,Pacific,7.7fluctuating0.5Amp,Dynamic,3,27.19332,636.323688
4,Pacific,7.7fluctuating0.5Amp,Dynamic,4,63.76282,1492.049988
6,Olympia,8.0constant,Static,1,18.21480833,426.226515
6,Olympia,8.0constant,Static,2,21.4621,502.21314
6,Olympia,8.0constant,Static,3,16.53620833,386.947275
6,Olympia,8.0constant,Static,4,20.36301667,476.49459
6,Olympia,7.7fluctuating0.2Amp,Dynamic,1,9.032466667,211.35972
6,Olympia,7.7fluctuating0.2Amp,Dynamic,2,18.15485833,424.823685
6,Olympia,7.7fluctuating0.2Amp,Dynamic,3,15.06743333,352.57794
6,Olympia,7.7fluctuating0.2Amp,Dynamic,4,2.777683333,64.99779
6,Olympia,7.7constant,Static,1,15.9467,373.15278
6,Olympia,7.7constant,Static,2,22.990825,537.985305
6,Olympia,7.7constant,Static,3,26.17816667,612.5691
6,Olympia,7.7constant,Static,4,17.295575,404.716455
6,Olympia,7.7fluctuating0.5Amp,Dynamic,1,16.56618333,387.64869
6,Olympia,7.7fluctuating0.5Amp,Dynamic,2,11.70024167,273.785655
6,Olympia,7.7fluctuating0.5Amp,Dynamic,3,17.235625,403.313625
6,Olympia,7.7fluctuating0.5Amp,Dynamic,4,16.13654167,377.595075
6,Pacific,8.0constant,Static,1,17.67525833,413.601045
6,Pacific,8.0constant,Static,2,21.83179167,510.863925
6,Pacific,8.0constant,Static,3,9.1124,213.23016
6,Pacific,8.0constant,Static,4,25.39881667,594.33231
6,Pacific,7.7fluctuating0.2Amp,Dynamic,1,4.696083333,109.88835
6,Pacific,7.7fluctuating0.2Amp,Dynamic,2,28.805975,674.059815
6,Pacific,7.7fluctuating0.2Amp,Dynamic,3,10.401325,243.391005
6,Pacific,7.7fluctuating0.2Amp,Dynamic,4,-0.429641667,-10.053615
6,Pacific,7.7constant,Static,1,18.18483333,425.5251
6,Pacific,7.7constant,Static,2,16.59615833,388.350105
6,Pacific,7.7constant,Static,3,32.642775,763.840935
6,Pacific,7.7constant,Static,4,20.2631,474.15654
6,Pacific,7.7fluctuating0.5Amp,Dynamic,1,25.23895,590.59143
6,Pacific,7.7fluctuating0.5Amp,Dynamic,2,16.9808375,397.3515975
6,Pacific,7.7fluctuating0.5Amp,Dynamic,3,22.1665125,518.6963925
6,Pacific,7.7fluctuating0.5Amp,Dynamic,4,22.9458625,536.9331825
