year,month,day,hour,min,sec,pH_tot
2017,1,25,23,17,0,NaN
2017,1,26,0,17,0,7.694
2017,1,26,3,17,0,7.742
2017,1,26,6,17,0,7.765
2017,1,26,9,17,0,7.777
2017,1,26,12,17,0,7.683
2017,1,26,15,17,0,7.691
2017,1,26,18,17,0,7.696
2017,1,26,21,17,0,7.704
2017,1,27,0,17,0,7.789
2017,1,27,3,17,0,7.75
2017,1,27,6,17,0,7.722
2017,1,27,9,17,0,7.69
2017,1,27,12,17,0,7.746
2017,1,27,15,17,0,7.745
2017,1,27,18,17,0,7.667
2017,1,27,21,17,0,7.776
2017,1,28,0,17,0,7.723
2017,1,28,3,17,0,7.815
2017,1,28,9,17,0,7.731
2017,1,28,12,17,0,7.807
2017,1,28,15,17,0,7.691
2017,1,28,18,17,0,7.726
2017,1,28,21,17,0,7.77
2017,1,29,0,17,0,7.782
2017,1,29,3,17,0,7.828
2017,1,29,6,17,0,7.811
2017,1,29,9,17,0,7.668
2017,1,29,12,17,0,7.738
2017,1,29,15,17,0,7.76
2017,1,29,18,17,0,7.739
2017,1,29,21,17,0,7.768
2017,1,30,0,17,0,7.819
2017,1,30,3,17,0,7.804
2017,1,30,6,17,0,7.807
2017,1,30,9,17,0,7.761
2017,1,30,12,17,0,7.771
2017,1,30,15,17,0,7.778
2017,1,30,18,17,0,7.752
2017,1,30,21,17,0,7.798
2017,1,31,0,17,0,7.831
2017,1,31,3,17,0,7.745
2017,1,31,6,17,0,7.79
2017,1,31,9,17,0,7.785
2017,1,31,12,17,0,7.78
2017,1,31,15,17,0,7.767
2017,1,31,18,17,0,7.779
2017,1,31,21,17,0,7.764
2017,2,1,0,17,0,7.793
2017,2,1,3,17,0,7.766
2017,2,1,6,17,0,7.832
2017,2,1,9,17,0,7.815
2017,2,1,12,17,0,7.815
2017,2,1,15,17,0,7.815
2017,2,1,18,17,0,7.772
2017,2,1,21,17,0,7.784
2017,2,2,0,17,0,7.784
2017,2,2,3,17,0,7.817
2017,2,2,6,17,0,7.793
2017,2,2,9,17,0,7.808
2017,2,2,12,17,0,7.748
2017,2,2,15,17,0,7.762
2017,2,2,18,17,0,7.802
2017,2,2,21,17,0,7.808
2017,2,3,0,17,0,7.774
2017,2,3,3,17,0,7.823
2017,2,3,6,17,0,7.765
2017,2,3,9,17,0,7.767
2017,2,3,12,17,0,7.783
2017,2,3,15,17,0,7.817
2017,2,3,18,17,0,7.726
2017,2,3,21,17,0,7.783
2017,2,4,0,17,0,7.76
2017,2,4,3,17,0,7.775
2017,2,4,6,17,0,7.782
2017,2,4,9,17,0,7.783
2017,2,4,12,17,0,7.792
2017,2,4,15,17,0,7.808
2017,2,4,18,17,0,7.757
2017,2,4,21,17,0,7.792
2017,2,5,0,17,0,7.808
2017,2,5,3,17,0,7.796
2017,2,5,6,17,0,7.772
2017,2,5,9,17,0,7.706
2017,2,5,12,17,0,7.754
2017,2,5,15,17,0,7.785
2017,2,5,18,17,0,7.769
2017,2,5,21,17,0,7.796
2017,2,6,0,17,0,7.792
2017,2,6,3,17,0,7.788
2017,2,6,6,17,0,7.796
2017,2,6,9,17,0,7.815
2017,2,6,12,17,0,7.788
2017,2,6,15,17,0,7.812
2017,2,6,18,17,0,7.821
2017,2,6,21,17,0,7.8
2017,2,7,0,17,0,7.793
2017,2,7,3,17,0,7.814
2017,2,7,6,17,0,7.819
2017,2,7,9,17,0,7.771
2017,2,7,12,17,0,7.809
2017,2,7,15,17,0,7.792
2017,2,7,18,17,0,7.83
2017,2,7,21,17,0,7.81
2017,2,8,0,17,0,7.803
2017,2,8,3,17,0,7.803
2017,2,8,6,17,0,7.777
2017,2,8,9,17,0,7.826
2017,2,8,12,17,0,7.8
2017,2,8,15,17,0,7.765
2017,2,8,18,17,0,7.794
2017,2,8,21,17,0,7.796
2017,2,9,0,17,0,7.782
2017,2,9,3,17,0,7.805
2017,2,9,6,17,0,7.771
2017,2,9,9,17,0,7.783
2017,2,9,12,17,0,7.793
2017,2,9,15,17,0,7.81
2017,2,9,18,17,0,7.798
2017,2,9,21,17,0,7.815
2017,2,10,0,17,0,7.808
2017,2,10,3,17,0,7.806
2017,2,10,9,17,0,7.79
2017,2,10,12,17,0,7.801
2017,2,10,15,17,0,7.813
2017,2,10,18,17,0,7.807
2017,2,10,21,17,0,7.788
2017,2,11,0,17,0,7.818
2017,2,11,3,17,0,7.806
2017,2,11,6,17,0,7.787
2017,2,11,9,17,0,7.781
2017,2,11,12,17,0,7.79
2017,2,11,15,17,0,7.786
2017,2,11,18,17,0,7.802
2017,2,11,21,17,0,7.788
2017,2,13,0,17,0,7.796
2017,2,13,3,17,0,7.809
2017,2,13,6,17,0,7.778
2017,2,13,9,17,0,7.798
2017,2,13,12,17,0,7.785
2017,2,13,15,17,0,7.792
2017,2,13,18,17,0,7.805
2017,2,13,21,17,0,7.813
2017,2,14,0,17,0,7.787
2017,2,14,3,17,0,7.8
2017,2,14,9,17,0,7.794
2017,2,14,12,17,0,7.808
2017,2,14,15,17,0,7.798
2017,2,14,18,17,0,7.8
2017,2,14,21,17,0,7.792
2017,2,15,0,17,0,7.803
2017,2,15,3,17,0,7.808
2017,2,15,6,17,0,7.806
2017,2,15,9,17,0,7.801
2017,2,15,12,17,0,7.795
2017,2,15,15,17,0,7.805
2017,2,15,18,17,0,7.79
2017,2,15,21,17,0,7.809
2017,2,16,0,17,0,7.811
2017,2,16,3,17,0,7.8
2017,2,16,6,17,0,7.81
2017,2,16,9,17,0,7.799
2017,2,16,12,17,0,7.805
2017,2,16,15,17,0,7.802
2017,2,16,18,17,0,7.798
2017,2,16,21,17,0,7.811
2017,2,17,0,17,0,7.836
2017,2,17,6,17,0,7.817
2017,2,17,9,17,0,7.8
2017,2,17,12,17,0,7.797
2017,2,17,15,17,0,7.804
2017,2,17,18,17,0,7.799
