year,month,day,hour,min,sec,swvel
2018,5,25,0,0,0,0.0942254524387999
2018,5,25,0,10,0,0.0921383580131821
2018,5,25,0,20,0,0.0884289719877006
2018,5,25,0,30,0,0.0831838203589762
2018,5,25,0,40,0,0.0765321665056838
2018,5,25,0,50,0,0.0686429729797517
2018,5,25,1,0,0,0.0597207438894077
2018,5,25,1,10,0,0.0500003528749223
2018,5,25,1,20,0,0.0397409301558601
2018,5,25,1,30,0,0.029219094621638
2018,5,25,1,40,0,0.0187216579718161
2018,5,25,1,50,0,0.00853779786033913
2018,5,25,2,0,0,-0.00104896040001269
2018,5,25,2,10,0,-0.00976860432232717
2018,5,25,2,20,0,-0.0173721706997923
2018,5,25,2,30,0,-0.0236385664622186
2018,5,25,2,40,0,-0.0283806877495138
2018,5,25,2,50,0,-0.0314505465487116
2018,5,25,3,0,0,-0.0327433617498563
2018,5,25,3,10,0,-0.0322003132721143
2018,5,25,3,20,0,-0.0298099108979263
2018,5,25,3,30,0,-0.0256080274233201
2018,5,25,3,40,0,-0.0196765589951299
2018,5,25,3,50,0,-0.0121407494347014
2018,5,25,4,0,0,-0.00316528981980037
2018,5,25,4,10,0,0.00705073715186118
2018,5,25,4,20,0,0.0182800840383219
2018,5,25,4,30,0,0.0302743302224317
2018,5,25,4,40,0,0.0427713253575127
2018,5,25,4,50,0,0.055502942781427
2018,5,25,5,0,0,0.0682030627062505
2018,5,25,5,10,0,0.0806153459846709
2018,5,25,5,20,0,0.0925006740178892
2018,5,25,5,30,0,0.10364394829294
2018,5,25,5,40,0,0.113860137929092
2018,5,25,5,50,0,0.122999265964691
2018,5,25,6,0,0,0.130949969416382
2018,5,25,6,10,0,0.137641827271868
2018,5,25,6,20,0,0.143046344560695
2018,5,25,6,30,0,0.147176598516151
2018,5,25,6,40,0,0.150085493355214
2018,5,25,6,50,0,0.151862773560837
2018,5,25,7,0,0,0.152631006859325
2018,5,25,7,10,0,0.152540555779688
2018,5,25,7,20,0,0.151763745429597
2018,5,25,7,30,0,0.150488493641209
2018,5,25,7,40,0,0.148911427033404
2018,5,25,7,50,0,0.147230937425319
2018,5,25,8,0,0,0.145640383754215
2018,5,25,8,10,0,0.144321708969138
2018,5,25,8,20,0,0.143439508286302
2018,5,25,8,30,0,0.143135819163892
2018,5,25,8,40,0,0.143525852925308
2018,5,25,8,50,0,0.144694743298045
2018,5,25,9,0,0,0.146695349738873
2018,5,25,9,10,0,0.149547097678896
2018,5,25,9,20,0,0.153236004063355
2018,5,25,9,30,0,0.157715747761442
2018,5,25,9,40,0,0.162909676886344
2018,5,25,9,50,0,0.168713650192205
2018,5,25,10,0,0,0.17499952967899
2018,5,25,10,10,0,0.181619366503255
2018,5,25,10,20,0,0.188409973515096
2018,5,25,10,30,0,0.195197641135985
2018,5,25,10,40,0,0.201803000698309
2018,5,25,10,50,0,0.208045788718213
2018,5,25,11,0,0,0.213749392279758
2018,5,25,11,10,0,0.218745218999397
2018,5,25,11,20,0,0.222876672758341
