,image_id_initial,image_id_final,jar,week,species,treatment,replicate,individual_id,surface_area_cm2_initial,surface_area_cm2_final,length_cm_initial,length_cm_final,length_pixels_initial,length_pixels_final,surface_area_px2_initial,surface_area_px2_final,width_cm_initial,width_cm_final,width_pixels_initial,width_pixels_final,pixels_per_cm_initial,pixels_per_cm_final,pixels2_per_cm2_initial,pixels2_per_cm2_final,notes_initial,notes_final
1,IMG_9816-resized,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,3Pu,1.42,1.44,1.53,1.5,124.15,115.87,9340.5,8554.5,1.21,1.35,97.74,104.32,81,77,6561,5929,,
2,IMG_9816-resized,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,3Pk,1.25,1.38,1.47,1.54,119.1,118.43,8194.5,8153,1.07,1.2,86.4,92.66,81,77,6561,5929,,
3,IMG_9816-resized,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,3Gr,1.75,1.77,1.72,1.81,139.52,139.28,11473.5,10504.5,1.47,1.47,119.2,113.09,81,77,6561,5929,,
4,IMG_9816-resized,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,3Bl,1.44,1.43,1.6,1.58,129.47,121.83,9441,8468.5,1.24,1.25,100.69,96.21,81,77,6561,5929,,
5,IMG_9816-resized,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,2Wh,2.02,2.11,1.98,2,160.08,153.94,13252.5,12493,1.51,1.56,122.38,119.95,81,77,6561,5929,,
6,IMG_9816-resized,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,2Rd,0.8,0.84,1.19,1.18,96.17,90.8,5246.5,4983,0.96,0.99,77.83,76.54,81,77,6561,5929,,used initial image to identify
7,IMG_9816-resized,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,2Rd,2.54,0.84,2.25,1.18,182.22,90.8,16682,4983,1.5,0.99,121.82,76.54,81,77,6561,5929,,used initial image to identify
8,IMG_9816-resized,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,2Pu,2.44,2.44,2.16,2.16,174.56,166.05,16020.5,14477,1.6,1.63,129.65,125.14,81,77,6561,5929,,
9,IMG_9816-resized,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,2Pk,1.07,1.13,1.36,1.44,110.48,111.02,7017,6727.5,1.12,1.15,91.07,88.84,81,77,6561,5929,,
10,NA,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,2Or,NA,2.66,NA,2.3,NA,176.8,NA,15784.5,NA,1.62,NA,124.96,NA,77,NA,5929,NA,
11,IMG_9816-resized,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,2Gr,2.37,2.31,2.08,2.04,168.88,157.41,15537.5,13668,1.67,1.65,135.21,127.1,81,77,6561,5929,,
12,IMG_9816-resized,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,2Bl,1.02,1.03,1.42,1.4,115.39,107.91,6682.5,6094,1.01,1.06,82.08,81.54,81,77,6561,5929,,
13,IMG_9816-resized,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,2Bk,2.74,2.83,2.22,2.21,179.63,170.3,18004,16791,1.89,1.87,152.9,144.22,81,77,6561,5929,,
14,IMG_9816-resized,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,1Wh,2.45,2.45,2.13,2.17,172.35,166.93,16058.5,14554,1.81,1.76,146.33,135.59,81,77,6561,5929,,
15,IMG_9816-resized,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,1Rd,0.96,1,1.32,1.31,107.04,100.57,6281.5,5923,1.18,1.05,95.96,80.65,81,77,6561,5929,,
16,IMG_9816-resized,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,1Pu,2.72,2.65,2.22,2.2,180.22,169.57,17817.5,15719,1.76,1.62,142.69,124.4,81,77,6561,5929,,
17,IMG_9816-resized,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,1Pk,0.62,0.62,1.02,1.01,82.57,77.67,4050.5,3654,0.79,0.8,63.95,61.61,81,77,6561,5929,,
18,IMG_9816-resized,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,1Or,2.38,2.43,2.07,2.09,167.74,160.65,15587.5,14424.5,1.57,1.61,126.83,123.86,81,77,6561,5929,,
19,IMG_9816-resized,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,1Gr,2.65,2.63,2.16,2.12,174.89,163.42,17412.5,15591.5,1.93,1.96,156.31,150.7,81,77,6561,5929,,
20,IMG_9816-resized,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,1Bl,0.95,0.97,1.27,1.29,103.23,98.98,6227,5729.5,1.04,1.03,84.39,79.26,81,77,6561,5929,,
21,IMG_9816-resized,2019_08_08_0057-resized,1,2,Olympia,7.7A0.2,5,1Bk,1.32,1.25,1.53,1.47,123.69,113.44,8634.5,7437,1.23,1.22,99.81,93.56,81,77,6561,5929,,
22,IMG_9818-resized,2019_08_08_0056-resized,1,2,Pacific,7.7A0.2,5,3Pu,1.05,1.05,1.65,1.65,136.95,128.86,7227.5,6390,1.12,0.97,92.76,75.96,83,78,6889,6084,,used initial image to identify
23,IMG_9818-resized,2019_08_08_0056-resized,1,2,Pacific,7.7A0.2,5,3Pk,1.67,1.66,1.96,1.93,162.78,150.31,11477.5,10115.5,1.19,1.24,99.04,96.93,83,78,6889,6084,,
24,IMG_9818-resized,2019_08_08_0056-resized,1,2,Pacific,7.7A0.2,5,3Gr,1.4,1.34,1.64,1.62,136.01,126.21,9614,8178.5,1.2,1.21,99.62,94.26,83,78,6889,6084,,Surface area innaccurate due to overlapping
25,IMG_9818-resized,2019_08_08_0056-resized,1,2,Pacific,7.7A0.2,5,3Bk,1.13,1.11,1.35,1.35,112.31,105.22,7776.5,6783,1.08,1.03,89.32,80.05,83,78,6889,6084,,
26,IMG_9818-resized,2019_08_08_0056-resized,1,2,Pacific,7.7A0.2,5,2Wh,1.08,1.15,1.61,1.62,133.6,126.25,7429.5,6972,1.06,1,87.62,78.24,83,78,6889,6084,,used initial image to identify
27,IMG_9818-resized,2019_08_08_0056-resized,1,2,Pacific,7.7A0.2,5,2Rd,0.95,0.9,1.5,1.47,124.58,114.79,6542,5505,0.92,0.9,76.06,70.38,83,78,6889,6084,,
28,IMG_9818-resized,2019_08_08_0056-resized,1,2,Pacific,7.7A0.2,5,2Pu,1.54,1.58,1.86,1.87,154.55,145.8,10606.5,9635,1.36,1.38,113.23,107.91,83,78,6889,6084,,used initial image to identify
29,IMG_9818-resized,2019_08_08_0056-resized,1,2,Pacific,7.7A0.2,5,2Pk,1.12,1.27,1.51,1.56,125.42,121.49,7712,7741.5,1.02,1.09,84.76,84.65,83,78,6889,6084,,
30,IMG_9818-resized,2019_08_08_0056-resized,1,2,Pacific,7.7A0.2,5,2Or,NA,1.36,NA,1.99,NA,155.03,NA,8281,NA,1.02,NA,79.62,NA,78,NA,6084,computer failed to measure,
31,IMG_9818-resized,2019_08_08_0056-resized,1,2,Pacific,7.7A0.2,5,2Gr,1.34,1.39,1.78,1.77,148.07,138.29,9208,8485,1.09,1.22,90.71,95.43,83,78,6889,6084,,
32,IMG_9818-resized,2019_08_08_0056-resized,1,2,Pacific,7.7A0.2,5,2Bl,0.86,0.88,1.3,1.25,107.7,97.53,5922,5361,1.03,1.06,85.45,82.98,83,78,6889,6084,,
33,IMG_9818-resized,2019_08_08_0056-resized,1,2,Pacific,7.7A0.2,5,2Bk,1.2,1.29,1.45,1.58,120.65,123,8295,7873,1.29,1.26,107,98.49,83,78,6889,6084,,used initial image to identify
