year,month,day,hour,min,sec,pH_tot
2018,5,25,0,0,0,8.23968333333515
2018,5,25,0,10,0,8.23751666665032
2018,5,25,0,20,0,8.23779999999497
2018,5,25,0,30,0,8.24380000004526
2018,5,25,0,40,0,8.24979999999497
2018,5,25,0,50,0,8.25580000004526
2018,5,25,1,0,0,8.26179999999497
2018,5,25,1,10,0,8.26780000004526
2018,5,25,1,20,0,8.27499999998324
2018,5,25,1,30,0,8.28500000003912
2018,5,25,1,40,0,8.29500000009499
2018,5,25,1,50,0,8.30499999998324
2018,5,25,2,0,0,8.31500000003912
2018,5,25,2,10,0,8.32499999992736
2018,5,25,2,20,0,8.33939999997933
2018,5,25,2,30,0,8.36406666643924
2018,5,25,2,40,0,8.38873333331266
2018,5,25,2,50,0,8.41339999977257
2018,5,25,3,0,0,8.43806666664599
2018,5,25,3,10,0,8.46273333351941
2018,5,25,3,20,0,8.4792500000021
2018,5,25,3,30,0,8.47674999998114
2018,5,25,3,40,0,8.4742500000021
2018,5,25,3,50,0,8.47174999998114
2018,5,25,4,0,0,8.46925000000209
2018,5,25,4,10,0,8.46674999998114
2018,5,25,4,20,0,8.46290000001173
2018,5,25,4,30,0,8.45589999997262
2018,5,25,4,40,0,8.4488999999335
2018,5,25,4,50,0,8.44190000001174
2018,5,25,5,0,0,8.43489999997262
2018,5,25,5,10,0,8.42790000005085
2018,5,25,5,20,0,8.41840000001285
2018,5,25,5,30,0,8.40306666680804
2018,5,25,5,40,0,8.38773333334619
2018,5,25,5,50,0,8.37240000014138
2018,5,25,6,0,0,8.35706666667952
2018,5,25,6,10,0,8.34173333321766
2018,5,25,6,20,0,8.32825000000768
2018,5,25,6,30,0,8.31908333326418
2018,5,25,6,40,0,8.30991666667435
2018,5,25,6,50,0,8.30074999993085
2018,5,25,7,0,0,8.29158333334102
2018,5,25,7,10,0,8.28241666659752
2018,5,25,7,20,0,8.276
2018,5,25,7,30,0,8.276
2018,5,25,7,40,0,8.276
2018,5,25,7,50,0,8.276
2018,5,25,8,0,0,8.276
2018,5,25,8,10,0,8.276
2018,5,25,8,20,0,8.27375000000629
2018,5,25,8,30,0,8.26625000006915
2018,5,25,8,40,0,8.25875000000629
