Jar,Individual ID,Species,Week,Treatment,Rep,Dissolution score1,Circles1,Crosses1,Exposed crystals1,Total1
3,2Pi,Pacific,2,8.0A0.2,2,1,1,0,1,2
3,2Pi,Pacific,2,8.0A0.2,2,1,0,0,0,0
3,2Pi,Pacific,2,8.0A0.2,2,2,1,0,1,2
3,2Pi,Pacific,2,8.0A0.2,2,1,0,0,0,0
3,2Pi,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,2Pi,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,2Pi,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,2Pi,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,2Pi,Pacific,2,8.0A0.2,2,2,0,0,0,0
3,2Pi,Pacific,2,8.0A0.2,2,1,0,0,0,0
3,2Pi,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,2Pi,Pacific,2,8.0A0.2,2,3,1,0,1,2
3,2Pi,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,2Pi,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,2Pi,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,2Pi,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,2Pi,Pacific,2,8.0A0.2,2,3,1,0,1,2
3,2Pi,Pacific,2,8.0A0.2,2,NA,NA,NA,NA,0
3,2Pi,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,2Pi,Pacific,2,8.0A0.2,2,1,1,0,0,1
3,2Pi,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,2Pi,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,2Pi,Pacific,2,8.0A0.2,2,1,1,0,0,1
3,2Pi,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,2Pi,Pacific,2,8.0A0.2,2,3,1,0,1,2
3,2Pi,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,2Pi,Pacific,2,8.0A0.2,2,3,1,0,1,2
3,2Pi,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,1W,Pacific,2,8.0A0.2,2,2,1,0,1,2
3,1W,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,1W,Pacific,2,8.0A0.2,2,2,0,0,1,1
3,1W,Pacific,2,8.0A0.2,2,3,0,1,1,2
3,1W,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,1W,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,1W,Pacific,2,8.0A0.2,2,2,0,1,1,2
3,1W,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,1W,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,1W,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,1W,Pacific,2,8.0A0.2,2,3,1,0,1,2
