year,month,day,hour,min,sec,swvel
2018,5,25,0,0,0,0.0858443641571996
2018,5,25,0,10,0,0.0837543206810578
2018,5,25,0,20,0,0.0799203675391238
2018,5,25,0,30,0,0.0744208220191559
2018,5,25,0,40,0,0.0673752310426599
2018,5,25,0,50,0,0.0589416413257831
2018,5,25,1,0,0,0.049312799558469
2018,5,25,1,10,0,0.0387114690570222
2018,5,25,1,20,0,0.0273849859603976
2018,5,25,1,30,0,0.0155990938265229
2018,5,25,1,40,0,0.00363126921615053
2018,5,25,1,50,0,-0.00823636187287083
2018,5,25,2,0,0,-0.0197240995953772
2018,5,25,2,10,0,-0.0305615606804819
2018,5,25,2,20,0,-0.0404942959429769
2018,5,25,2,30,0,-0.0492899482256119
2018,5,25,2,40,0,-0.0567437422209859
2018,5,25,2,50,0,-0.0626831983662371
2018,5,25,3,0,0,-0.0669719254143059
2018,5,25,3,10,0,-0.0695123829288577
2018,5,25,3,20,0,-0.07024755858541
2018,5,25,3,30,0,-0.069161465491641
2018,5,25,3,40,0,-0.0662784988608772
2018,5,25,3,50,0,-0.0616617104087937
2018,5,25,4,0,0,-0.0554101176910132
2018,5,25,4,10,0,-0.047655084104562
2018,5,25,4,20,0,-0.038555752737675
2018,5,25,4,30,0,-0.0282938827207807
2018,5,25,4,40,0,-0.0170682574219446
2018,5,25,4,50,0,-0.00508874047234738
2018,5,25,5,0,0,0.00742976245053215
2018,5,25,5,10,0,0.0202733617680842
2018,5,25,5,20,0,0.0332350654187091
2018,5,25,5,30,0,0.0461202359873647
2018,5,25,5,40,0,0.0587514446918978
2018,5,25,5,50,0,0.0709726489428704
2018,5,25,6,0,0,0.0826525974720081
2018,5,25,6,10,0,0.0936873424834829
2018,5,25,6,20,0,0.104001682085414
2018,5,25,6,30,0,0.113549717226381
2018,5,25,6,40,0,0.12231451568486
2018,5,25,6,50,0,0.130306893424224
2018,5,25,7,0,0,0.137563330361141
2018,5,25,7,10,0,0.144143148486024
2018,5,25,7,20,0,0.150125029347098
2018,5,25,7,30,0,0.155603048907092
2018,5,25,7,40,0,0.160682294543686
2018,5,25,7,50,0,0.165474256563261
2018,5,25,8,0,0,0.170092115113503
2018,5,25,8,10,0,0.174646101329294
2018,5,25,8,20,0,0.179239006513908
2018,5,25,8,30,0,0.1839621478588
2018,5,25,8,40,0,0.188891785143402
2018,5,25,8,50,0,0.194086009960663
2018,5,25,9,0,0,0.19958240727198
2018,5,25,9,10,0,0.205396371518647
2018,5,25,9,20,0,0.211520141010915
2018,5,25,9,30,0,0.217922492241611
2018,5,25,9,40,0,0.224549193516191
2018,5,25,9,50,0,0.231324089827472
2018,5,25,10,0,0,0.238150868241332
2018,5,25,10,10,0,0.244915382619227
2018,5,25,10,20,0,0.251488409915796
2018,5,25,10,30,0,0.257728899526598
2018,5,25,10,40,0,0.263487419885972
2018,5,25,10,50,0,0.268609889192273
2018,5,25,11,0,0,0.272941542367277
2018,5,25,11,10,0,0.276330917747247
2018,5,25,11,20,0,0.278633866549134
2018,5,25,11,30,0,0.279717404049105
2018,5,25,11,40,0,0.279463396443159
2018,5,25,11,50,0,0.277771835656159
2018,5,25,12,0,0,0.274563833452962
2018,5,25,12,10,0,0.269784090338659
2018,5,25,12,20,0,0.263402889457835
2018,5,25,12,30,0,0.255417732089455
2018,5,25,12,40,0,0.245854359516895
2018,5,25,12,50,0,0.234767169352369
2018,5,25,13,0,0,0.222238878014025
2018,5,25,13,10,0,0.208379606758656
2018,5,25,13,20,0,0.193325382197918
2018,5,25,13,30,0,0.177235954976045
2018,5,25,13,40,0,0.160291992711134
2018,5,25,13,50,0,0.14269174768021
2018,5,25,14,0,0,0.124647315500857
2018,5,25,14,10,0,0.106380309201558
2018,5,25,14,20,0,0.0881173600751229
2018,5,25,14,30,0,0.0700853268033655
2018,5,25,14,40,0,0.0525063853720715
2018,5,25,14,50,0,0.0355931058196965
2018,5,25,15,0,0,0.0195436550584293
2018,5,25,15,10,0,0.00453739510226871
2018,5,25,15,20,0,-0.00926902403892027
2018,5,25,15,30,0,-0.0217450564738735
2018,5,25,15,40,0,-0.0327889121180423
2018,5,25,15,50,0,-0.0423294878048682
2018,5,25,16,0,0,-0.0503275286477405
2018,5,25,16,10,0,-0.0567758905263843
2018,5,25,16,20,0,-0.0616988008345315
2018,5,25,16,30,0,-0.0651503480214401
2018,5,25,16,40,0,-0.0672120563406055
2018,5,25,16,50,0,-0.0679896488392803
2018,5,25,17,0,0,-0.0676091316605635
2018,5,25,17,10,0,-0.0662123645790753
2018,5,25,17,20,0,-0.0639522050721706
2018,5,25,17,30,0,-0.060987424801013
2018,5,25,17,40,0,-0.0574775301573699
2018,5,25,17,50,0,-0.0535775731096729
2018,5,25,18,0,0,-0.0494334141265879
2018,5,25,18,10,0,-0.0451774057922894
2018,5,25,18,20,0,-0.0409245562747176
2018,5,25,18,30,0,-0.0367695572313895
2018,5,25,18,40,0,-0.032784624068821
2018,5,25,18,50,0,-0.0290182705403588
