Organism,Station,Rep,Group,Individual,Average Score
Olympia,EDG,1,O2,12,3
Olympia,EDG,2,O3,1,3
Olympia,EDG,3,O3,5,2
Olympia,EDG,4,O3,6,3
Olympia,EDG,5,O3,3,3
Olympia,MID,1,O3,6,1
Olympia,MID,2,O1,10,1
Olympia,MID,3,O3,16,2
Olympia,MID,4,O3,8,0
Olympia,MID,5,O3,9,1
Olympia,OUT,1,O2,8,2
Olympia,OUT,2,O2,5,3
Olympia,OUT,3,O2,3,3
Olympia,OUT,4,O2,9,3
Olympia,OUT,5,O2,2,3
Pacific,EDG,1,P1,11,3
Pacific,EDG,2,P1,2,1.5
Pacific,EDG,3,P1,6,1
Pacific,EDG,4,P1,8,1.5
Pacific,EDG,5,P1,9,2.5
Pacific,MID,1,P1,5,0.5
Pacific,MID,2,P1,4,0
Pacific,MID,3,P2,15,0
Pacific,MID,4,P1,2,0
Pacific,MID,5,P2,6,0
Pacific,MID,6,P2,14,1
Pacific,OUT,1,P2,4,2
Pacific,OUT,2,P1,1,1
Pacific,OUT,3,P2,1,2
Pacific,OUT,4,P2,14,2.5
Pacific,OUT,5,P1,9,3
Olympia,EDG,1,O2,12,NA
Olympia,EDG,2,O3,1,3
Olympia,EDG,3,O3,5,1.5
Olympia,EDG,4,O3,6,3
Olympia,EDG,5,O3,3,NA
Olympia,MID,1,O3,6,1
Olympia,MID,2,O1,10,2
Olympia,MID,3,O3,16,1
Olympia,MID,4,O3,8,0
Olympia,MID,5,O3,9,1
Olympia,OUT,1,O2,8,1
Olympia,OUT,2,O2,5,1
Olympia,OUT,3,O2,3,2
Olympia,OUT,4,O2,9,1.5
Olympia,OUT,5,O2,2,1.5
Pacific,EDG,1,P1,11,1
Pacific,EDG,2,P1,2,1.5
Pacific,EDG,3,P1,6,2.5
Pacific,EDG,4,P1,8,1
Pacific,EDG,5,P1,9,1.5
Pacific,MID,1,P1,5,0.5
Pacific,MID,2,P1,4,0.5
Pacific,MID,3,P2,15,1
Pacific,MID,4,P1,2,1.5
Pacific,MID,5,P2,6,1
Pacific,MID,6,P2,14,0
Pacific,OUT,1,P2,4,1
Pacific,OUT,2,P1,1,0
Pacific,OUT,3,P2,1,1
Pacific,OUT,4,P2,14,2.5
Pacific,OUT,5,P1,9,3
