Date,Jar,Individual ID,Species,Week,Whole Organism Weight,Shell Weight,Tissue Weight,Respiration,Feeding/calcification,Comments2,Unable to confirm ID
8/8/2019,1,1Bk,Olympia,2,0.3723,,,,X,"tissue and shell weight in Week 6, not used for feeding/calc",
8/8/2019,1,1Bl,Olympia,2,0.3091,,,,X,"tissue and shell weight in Week 6, not used for feeding/calc",
8/8/2019,1,1Gr,Olympia,2,0.9914,,,,X,,
8/8/2019,1,1Or,Olympia,2,0.7561,,,,X,,
8/8/2019,1,1Pk,Olympia,2,0.1587,,,,X,,
8/8/2019,1,1Pu,Olympia,2,0.9064,,,,X,,
8/8/2019,1,1Rd,Olympia,2,0.2772,,,,X,,
8/8/2019,1,1Wh,Olympia,2,0.8736,,,,X,,
8/8/2019,1,2Bk,Olympia,2,0.8888,,,,X,,
8/8/2019,1,2Bl,Olympia,2,0.3308,,,,X,,
8/8/2019,1,2Gr,Olympia,2,1.0445,,,,X,,
8/8/2019,1,2Or,Olympia,2,1.207,,,,X,,
8/8/2019,1,2Pk,Olympia,2,0.4191,,,,X,"tissue and shell weight in Week 6, not used for feeding/calc",
8/8/2019,1,2Pu,Olympia,2,0.9037,,,,X,,
8/8/2019,1,2Rd,Olympia,2,0.213,,,,X,,
8/8/2019,1,2Wh,Olympia,2,0.8256,,,,X,,
8/8/2019,1,3Bl,Olympia,2,0.4939,,,,X,,
8/8/2019,1,3Gr,Olympia,2,0.7357,,,,X,,
8/8/2019,1,3Pk,Olympia,2,0.4378,,,,X,,
8/8/2019,1,3Pu,Olympia,2,0.563,,,,X,,
8/8/2019,1,1Bk,Pacific,2,0.561,,,,X,,
8/8/2019,1,1Bl,Pacific,2,0.447,,,,X,no dots,X
8/8/2019,1,1Gr,Pacific,2,0.65,,,,X,"tissue and shell weight in Week 6, not used for feeding/calc",
8/8/2019,1,1Or,Pacific,2,0.472,,,,X,no dots,X
8/8/2019,1,1Pk,Pacific,2,0.688,,,,X,,
8/8/2019,1,1Pu,Pacific,2,0.822,,,,X,,
8/8/2019,1,1Rd,Pacific,2,0.792,,,,X,"tissue and shell weight in Week 6, not used for feeding/calc",
8/8/2019,1,1Wh,Pacific,2,0.436,,,,X,,
8/8/2019,1,2Bk,Pacific,2,0.346,,,,X,,
8/8/2019,1,2Gr,Pacific,2,0.573,,,,X,"jar 1 pacific is missing 2Bl and 2Rd, has a 3 Bc and 3 Rd instead",
8/8/2019,1,2Or,Pacific,2,0.434,,,,X,unsure of color( has blue crossed out and orange written instead with question mark),
8/8/2019,1,2Pk,Pacific,2,0.537,,,,X,"tissue and shell weight in Week 6, not used for feeding/calc",
8/8/2019,1,2Pu,Pacific,2,0.327,,,,X,,
8/8/2019,1,2Wh,Pacific,2,0.409,,,,X,,
8/8/2019,1,3Bk,Pacific,2,0.382,,,,X,,X (does not exist in initial weights; could be the missing 2Bl Pacific?)
8/8/2019,1,3Bl,Pacific,2,0.249,,,,X,,
8/8/2019,1,3Gr,Pacific,2,0.483,,,,X,,
8/8/2019,1,3Pk,Pacific,2,0.579,,,,X,,
8/8/2019,1,3Pu,Pacific,2,0.533,,,,X,,
8/8/2019,1,3Rd,Pacific,2,0.302,,,,X,,X (does not exist in initial weights: could be the missing 2Rd Pacific?)
9/6/2019,1,1Bk,Olympia,6,,NA,NA,,,dead; whoel organism weight weight in Week 2; originally reserved for feeding/calc,
9/6/2019,1,1Bl,Olympia,6,,0.237,0.037,,,whole organism wieght in Week 2; originally reserved for feeding/calc,
