Jar,Species,Number,Individual.ID,Initial_wetweight,Date,Treatment,Week,Whole.Organism.Weight,Shell.Weight,Tissue.Weight,Respiration,Feeding.calcification,Dead
1,Olympia,6,1Bk,0.358,8/8/2019,7.7A0.2,2,0.3723,NA,NA,,X,
1,Pacific,6,1Bk,0.49,8/8/2019,7.7A0.2,2,0.561,NA,NA,,X,
1,Olympia,4,1Bl,0.288,8/8/2019,7.7A0.2,2,0.3091,NA,NA,,X,
1,Pacific,4,1Bl,0.32,8/8/2019,7.7A0.2,2,0.447,NA,NA,,X,
1,Olympia,1,1Gr,0.947,8/8/2019,7.7A0.2,2,0.9914,NA,NA,,X,
1,Pacific,1,1Gr,0.56,8/8/2019,7.7A0.2,2,0.65,NA,NA,,X,
1,Olympia,5,1Or,0.727,8/8/2019,7.7A0.2,2,0.7561,NA,NA,,X,
1,Pacific,5,1Or,0.36,8/8/2019,7.7A0.2,2,0.472,NA,NA,,X,
1,Olympia,2,1Pk,0.153,8/8/2019,7.7A0.2,2,0.1587,NA,NA,,X,
1,Pacific,2,1Pk,0.53,8/8/2019,7.7A0.2,2,0.688,NA,NA,,X,
1,Olympia,3,1Pu,0.826,8/8/2019,7.7A0.2,2,0.9064,NA,NA,,X,
1,Pacific,3,1Pu,0.61,8/8/2019,7.7A0.2,2,0.822,NA,NA,,X,
1,Olympia,7,1Rd,0.274,8/8/2019,7.7A0.2,2,0.2772,NA,NA,,X,
1,Pacific,7,1Rd,0.56,8/8/2019,7.7A0.2,2,0.792,NA,NA,,X,
1,Olympia,8,1Wh,0.789,8/8/2019,7.7A0.2,2,0.8736,NA,NA,,X,
1,Pacific,8,1Wh,0.32,8/8/2019,7.7A0.2,2,0.436,NA,NA,,X,
1,Olympia,14,2Bk,0.842,8/8/2019,7.7A0.2,2,0.8888,NA,NA,,X,
1,Pacific,14,2Bk,0.28,8/8/2019,7.7A0.2,2,0.346,NA,NA,,X,
1,Olympia,12,2Bl,0.319,8/8/2019,7.7A0.2,2,0.3308,NA,NA,,X,
1,Pacific,,2Bl,0.19,8/8/2019,7.7A0.2,2,0.249,NA,NA,,,
1,Pacific,9,2Gr,0.53,8/8/2019,7.7A0.2,2,0.573,NA,NA,,X,
1,Olympia,9,2Gr,0.978,8/8/2019,7.7A0.2,2,1.0445,NA,NA,,X,
1,Olympia,13,2Or,1.137,8/8/2019,7.7A0.2,2,1.207,NA,NA,,X,
1,Pacific,13,2Or,0.29,8/8/2019,7.7A0.2,2,0.434,NA,NA,,X,
1,Olympia,10,2Pk,0.394,8/8/2019,7.7A0.2,2,0.4191,NA,NA,,X,
1,Pacific,10,2Pk,0.43,8/8/2019,7.7A0.2,2,0.537,NA,NA,,X,
1,Pacific,11,2Pu,0.38,8/8/2019,7.7A0.2,2,0.327,NA,NA,,X,
1,Olympia,11,2Pu,0.85,8/8/2019,7.7A0.2,2,0.9037,NA,NA,,X,
1,Olympia,15,2Rd,0.207,8/8/2019,7.7A0.2,2,0.213,NA,NA,,X,
1,Pacific,,2Rd,0.23,8/8/2019,7.7A0.2,2,0.302,NA,NA,,,
1,Olympia,16,2Wh,0.758,8/8/2019,7.7A0.2,2,0.8256,NA,NA,,X,
1,Pacific,16,2Wh,0.23,8/8/2019,7.7A0.2,2,0.409,NA,NA,,X,
1,Pacific,20,3Bk,0.29,8/8/2019,7.7A0.2,2,0.382,NA,NA,,X,
1,Olympia,20,3Bl,0.449,8/8/2019,7.7A0.2,2,0.4939,NA,NA,,X,
1,Olympia,17,3Gr,0.693,8/8/2019,7.7A0.2,2,0.7357,NA,NA,,X,
1,Pacific,17,3Gr,0.43,8/8/2019,7.7A0.2,2,0.483,NA,NA,,X,
1,Olympia,18,3Pk,0.427,8/8/2019,7.7A0.2,2,0.4378,NA,NA,,X,
1,Pacific,18,3Pk,0.38,8/8/2019,7.7A0.2,2,0.579,NA,NA,,X,
1,Olympia,19,3Pu,0.535,8/8/2019,7.7A0.2,2,0.563,NA,NA,,X,
1,Pacific,19,3Pu,0.26,8/8/2019,7.7A0.2,2,0.533,NA,NA,,X,
2,Olympia,6,1Bk,0.614,8/8/2019,8.0C,2,NA,0.4729,0.0999,,,
2,Pacific,6,1Bk,0.2,8/8/2019,8.0C,2,NA,0.166,0.045,,,
2,Olympia,4,1Bl,0.251,8/8/2019,8.0C,2,NA,0.193,0.022,,,
2,Pacific,4,1Bl,0.44,8/8/2019,8.0C,2,NA,0.387,0.107,,,
2,Olympia,1,1Gr,0.231,8/8/2019,8.0C,2,NA,0.185,0.025,,,
