individual_id,jar,species,treatment,week,final_length,initial_length,final_width,initial_width
1Bk,11,Olympia,7.7A0.5,0,1.51,1.51,1.05,1.05
1Bk,11,Pacific,7.7A0.5,0,1.5,1.5,1.11,1.11
1Bk,12,Olympia,7.7A0.2,0,1,1,0.84,0.84
1Bk,12,Pacific,7.7A0.2,0,1.01,1.01,0.8,0.8
1Bk,15,Olympia,8.0C,0,1.8,1.8,1.52,1.52
1Bk,15,Pacific,8.0C,0,1.07,1.07,0.65,0.65
1Bk,26,Olympia,7.7A0.2,0,1.27,1.27,1.11,1.11
1Bk,26,Pacific,7.7A0.2,0,0.91,0.91,0.74,0.74
1Bk,41,Olympia,7.7C,0,2.05,2.05,1.57,1.57
1Bk,41,Pacific,7.7C,0,0.98,0.98,0.69,0.69
1Bk,47,Olympia,7.7A0.5,0,1.47,1.47,1.2,1.2
1Bk,47,Pacific,7.7A0.5,0,0.96,0.96,0.69,0.69
1Bk,53,Olympia,8.0C,0,1.08,1.08,0.84,0.84
1Bl,11,Olympia,7.7A0.5,0,0.94,0.94,1,1
1Bl,11,Pacific,7.7A0.5,0,1.26,1.26,0.94,0.94
1Bl,12,Olympia,7.7A0.2,0,1.65,1.65,1,1
1Bl,12,Pacific,7.7A0.2,0,1.01,1.01,0.82,0.82
1Bl,15,Olympia,8.0C,0,1.37,1.37,1.11,1.11
1Bl,15,Pacific,8.0C,0,1.35,1.35,0.95,0.95
1Bl,26,Olympia,7.7A0.2,0,1.21,1.21,1,1
1Bl,26,Pacific,7.7A0.2,0,1.31,1.31,0.68,0.68
1Bl,41,Olympia,7.7C,0,1.07,1.07,0.83,0.83
1Bl,41,Pacific,7.7C,0,1.08,1.08,0.7,0.7
1Bl,47,Olympia,7.7A0.5,0,1.92,1.92,1.26,1.26
1Bl,47,Pacific,7.7A0.5,0,1,1,0.75,0.75
1Bl,53,Olympia,8.0C,0,1.53,1.53,1.32,1.32
1Bl,53,Pacific,8.0C,0,0.79,0.79,0.48,0.48
