image_id,individual_id,initial/final,jar,length_cm,length_pixels,pixels_per_cm,replicate,species,treatment,week,width_cm,width_pixels
2019_08_08_0073,1Bl,final,76,0.99,77.62,78.18181818,1,Pacific,7.7C,2,0.74,57.78
2019_08_08_0073,1Gr,final,76,1.35,105.26,78.18181818,1,Pacific,7.7C,2,0.72,56.29
2019_08_08_0073,1Or,final,76,0.86,67.27,78.18181818,1,Pacific,7.7C,2,0.73,56.73
2019_08_08_0073,1Pu,final,76,1.06,83.19,78.18181818,1,Pacific,7.7C,2,0.73,56.86
2019_08_08_0073,1Rd,final,76,0.98,76.69,78.18181818,1,Pacific,7.7C,2,0.67,52.63
2019_08_08_0073,2Bl,final,76,1.15,89.63,78.18181818,1,Pacific,7.7C,2,1.36,106.45
2019_08_08_0073,3Bl,final,76,1.57,122.8,78.18181818,1,Pacific,7.7C,2,1.2,94.15
2019_08_08_0073,2Gr,final,76,1.32,102.88,78.18181818,1,Pacific,7.7C,2,1.02,79.4
2019_08_08_0073,3Gr,final,76,1.28,99.92,78.18181818,1,Pacific,7.7C,2,1.06,83.2
2019_08_08_0073,2Rd,final,76,1.09,85,78.18181818,1,Pacific,7.7C,2,0.88,68.66
2019_08_08_0073,2Or,final,76,1.2,93.43,78.18181818,1,Pacific,7.7C,2,1.05,82.2
2019_08_08_0073,2Pu,final,76,1.1,86.37,78.18181818,1,Pacific,7.7C,2,0.85,66.84
2019_08_08_0073,2Wh,final,76,1.09,85.04,78.18181818,1,Pacific,7.7C,2,0.68,53.26
2019_08_08_0073,3Pu,final,76,2.05,159.93,78.18181818,1,Pacific,7.7C,2,1.57,122.77
2019_08_08_0073,2Si,final,76,1.15,90.27,78.18181818,1,Pacific,7.7C,2,0.94,73.59
2019_08_08_0073,1Si,final,76,1.09,85.23,78.18181818,1,Pacific,7.7C,2,0.71,55.15
2019_08_08_0073,3Si,final,76,1.32,103.08,78.18181818,1,Pacific,7.7C,2,1.11,86.65
2019_08_08_0074,3Bl,final,76,1.67,135.19,81.02,1,Olympia,7.7C,2,1.34,108.85
2019_08_08_0074,2Gr,final,76,1.82,147.8,81.02,1,Olympia,7.7C,2,1.37,111.04
2019_08_08_0074,3Si,final,76,1.98,160.31,81.02,1,Olympia,7.7C,2,1.42,115.28
2019_08_08_0074,1Bl,final,76,1.89,152.76,81.02,1,Olympia,7.7C,2,1.64,132.57
2019_08_08_0074,1Pu,final,76,1.65,133.51,81.02,1,Olympia,7.7C,2,1.15,93.34
2019_08_08_0074,1Or,final,76,1.48,120.07,81.02,1,Olympia,7.7C,2,1.19,96.04
2019_08_08_0074,2Or,final,76,1.97,159.3,81.02,1,Olympia,7.7C,2,1.64,132.77
2019_08_08_0074,1Gr,final,76,1.54,125.1,81.02,1,Olympia,7.7C,2,1.24,100.44
2019_08_08_0074,1Rd,final,76,1.59,128.89,81.02,1,Olympia,7.7C,2,1.37,111.29
2019_08_08_0074,1Si,final,76,1.32,107.28,81.02,1,Olympia,7.7C,2,1.2,97.19
2019_08_08_0074,1Wh,final,76,1.71,138.52,81.02,1,Olympia,7.7C,2,1.48,120.3
2019_08_08_0074,2Pu,final,76,1.81,147.03,81.02,1,Olympia,7.7C,2,1.43,116.1
2019_08_08_0074,2Rd,final,76,1.8,145.84,81.02,1,Olympia,7.7C,2,1.23,99.54
2019_08_08_0074,2Si,final,76,1.64,133.2,81.02,1,Olympia,7.7C,2,1.58,128.35
2019_08_08_0074,2Wh,final,76,1.63,131.75,81.02,1,Olympia,7.7C,2,1.46,117.92
2019_08_08_0074,2Bl,final,76,1.93,156.73,81.02,1,Olympia,7.7C,2,1.61,130.05
2019_08_08_0074,3Gr,final,76,2.22,179.9,81.02,1,Olympia,7.7C,2,1.9,154.3
2019_08_08_0074,3Or,final,76,2.02,163.37,81.02,1,Olympia,7.7C,2,2.02,163.84
2019_08_08_0074,3Pu,final,76,2.31,187.32,81.02,1,Olympia,7.7C,2,1.62,131.64
2019_08_08_0074,3Rd,final,76,1.81,146.4,81.02,1,Olympia,7.7C,2,1.72,139.46
2019_08_08_0075,1Bl,final,20,1.07,86.02,80.60606061,2,Pacific,7.7C,2,1.01,81.01
2019_08_08_0075,1Bk,final,20,0.97,77.88,80.60606061,2,Pacific,7.7C,2,0.77,61.85
2019_08_08_0075,1Pu,final,20,0.89,72.01,80.60606061,2,Pacific,7.7C,2,0.75,60.17
2019_08_08_0075,2Pk,final,20,1.31,105.55,80.60606061,2,Pacific,7.7C,2,1.19,95.75
2019_08_08_0075,3Pu,final,20,1.85,149.48,80.60606061,2,Pacific,7.7C,2,1.4,113.07
2019_08_08_0075,1Gr,final,20,1.07,85.98,80.60606061,2,Pacific,7.7C,2,0.78,63.25
2019_08_08_0075,1Wh,final,20,1.26,101.32,80.60606061,2,Pacific,7.7C,2,0.72,58.08
2019_08_08_0075,1Rd,final,20,1.2,97.01,80.60606061,2,Pacific,7.7C,2,1.02,81.84
2019_08_08_0075,2Or,final,20,1.69,136.37,80.60606061,2,Pacific,7.7C,2,1.15,92.66
2019_08_08_0075,2Bk,final,20,1.52,122.65,80.60606061,2,Pacific,7.7C,2,1.18,95.3
2019_08_08_0075,2Wh,final,20,1.72,138.24,80.60606061,2,Pacific,7.7C,2,1.14,91.71
2019_08_08_0075,3Pk,final,20,1.79,143.95,80.60606061,2,Pacific,7.7C,2,1.55,125.33
2019_08_08_0075,3Bl,final,20,1.9,153.1,80.60606061,2,Pacific,7.7C,2,1.13,91.02
2019_08_08_0075,1Pk,final,20,1.09,88.2,80.60606061,2,Pacific,7.7C,2,0.82,65.86
2019_08_08_0075,1Or,final,20,1.07,85.93,80.60606061,2,Pacific,7.7C,2,1.33,107.56
2019_08_08_0075,2Rd,final,20,1.48,119.5,80.60606061,2,Pacific,7.7C,2,1.05,84.4
2019_08_08_0075,3Gr,final,20,2.47,199.25,80.60606061,2,Pacific,7.7C,2,1.64,131.8
2019_08_08_0075,2Gr,final,20,1.3,104.66,80.60606061,2,Pacific,7.7C,2,1.13,91.45
2019_08_08_0086,3Gr,final,43,1.37,112.36,82.01,4,Pacific,7.7C,2,1.18,97.02
2019_08_08_0086,2Pu,final,43,1.07,87.92,82.01,4,Pacific,7.7C,2,0.79,64.56
2019_08_08_0086,2Rd,final,43,1.05,86.45,82.01,4,Pacific,7.7C,2,0.78,63.81
2019_08_08_0086,1Rd,final,43,0.87,71.59,82.01,4,Pacific,7.7C,2,0.79,64.5
2019_08_08_0086,1Wh,final,43,1.1,89.98,82.01,4,Pacific,7.7C,2,0.86,70.21
2019_08_08_0086,1Gr,final,43,0.95,77.64,82.01,4,Pacific,7.7C,2,0.99,81.06
2019_08_08_0086,3Bl,final,43,1.13,92.91,82.01,4,Pacific,7.7C,2,0.77,63.2
2019_08_08_0086,1Pu,final,43,1.03,84.17,82.01,4,Pacific,7.7C,2,0.99,81.45
2019_08_08_0086,2Pk,final,43,1.21,99.64,82.01,4,Pacific,7.7C,2,0.8,65.74
2019_08_08_0086,1Pk,final,43,1.08,88.19,82.01,4,Pacific,7.7C,2,0.64,52.48
2019_08_08_0086,3Pu,final,43,1.24,101.51,82.01,4,Pacific,7.7C,2,0.9,74.04
2019_08_08_0086,1Or,final,43,0.82,66.91,82.01,4,Pacific,7.7C,2,0.75,61.72
2019_08_08_0086,2Or,final,43,1.55,127.14,82.01,4,Pacific,7.7C,2,1.04,84.91
2019_08_08_0086,1Bl,final,43,1.1,90,82.01,4,Pacific,7.7C,2,0.74,60.46
2019_08_08_0086,1Bk,final,43,0.97,79.23,82.01,4,Pacific,7.7C,2,0.72,59.08
2019_08_08_0086,2Bl,final,43,1.01,82.76,82.01,4,Pacific,7.7C,2,0.98,80.26
2019_08_08_0086,2Gr,final,43,1.07,87.8,82.01,4,Pacific,7.7C,2,1,81.96
2019_08_08_0086,2Bk,final,43,1.28,105.01,82.01,4,Pacific,7.7C,2,1,81.7
2019_08_08_0087,2Bk,final,43,1.42,118.81,83.9,4,Olympia,7.7C,2,1.16,97.13
2019_08_08_0087,2Pk,final,43,1.49,125,83.9,4,Olympia,7.7C,2,1.14,95.82
2019_08_08_0087,2Wh,final,43,1.62,135.77,83.9,4,Olympia,7.7C,2,1.3,109.48
2019_08_08_0087,2Gr,final,43,1.36,113.89,83.9,4,Olympia,7.7C,2,1.09,91.76
2019_08_08_0087,1Or,final,43,1.83,153.73,83.9,4,Olympia,7.7C,2,1.63,136.82
2019_08_08_0087,2Or,final,43,1.92,161.4,83.9,4,Olympia,7.7C,2,1.58,132.31
2019_08_08_0087,3Pu,final,43,1.69,141.68,83.9,4,Olympia,7.7C,2,1.19,100.08
2019_08_08_0087,1Pu,final,43,1.44,120.42,83.9,4,Olympia,7.7C,2,1.05,88.32
2019_08_08_0087,1Gr,final,43,1.34,112.75,83.9,4,Olympia,7.7C,2,1.13,95.08
2019_08_08_0087,2Rd,final,43,1.46,122.24,83.9,4,Olympia,7.7C,2,1.39,116.34
2019_08_08_0087,3Pk,final,43,1.55,130.43,83.9,4,Olympia,7.7C,2,1.21,101.2
2019_08_08_0087,3Gr,final,43,2.32,195.06,83.9,4,Olympia,7.7C,2,1.66,139.64
2019_08_08_0087,2Pu,final,43,1.39,116.25,83.9,4,Olympia,7.7C,2,0.98,82.58
2019_08_08_0087,1Wh,final,43,2.03,170.3,83.9,4,Olympia,7.7C,2,1.59,133
2019_08_08_0087,1Bk,final,43,1.21,101.84,83.9,4,Olympia,7.7C,2,1,83.82
2019_08_08_0087,1Bl,final,43,1.68,140.89,83.9,4,Olympia,7.7C,2,1.5,125.9
2019_08_08_0087,3Bl,final,43,1.75,147.22,83.9,4,Olympia,7.7C,2,1.5,126.14
2019_08_08_0087,1Rd,final,43,1.38,116.09,83.9,4,Olympia,7.7C,2,1.04,86.98
2019_08_08_0080,3Bl,final,54,1.61,131.5,81.81818182,3,Pacific,8.0C,2,1.21,99.05
2019_08_08_0080,3Gr,final,54,1.64,134.27,81.81818182,3,Pacific,8.0C,2,1.08,88.24
2019_08_08_0081,2Bk,final,2,1.76,178.88,101.4285714,4,Olympia,8.0C,2,1.27,129.25
2019_08_08_0081,2Or,final,2,1.7,172.35,101.4285714,4,Olympia,8.0C,2,1.47,149.28
2019_08_08_0085,2Si,final,76,1.18,118.68,100.6060606,1,Olympia,7.7C,2,1,100.88
2019_08_08_0085,1Rd,final,76,1.33,133.45,100.6060606,1,Olympia,7.7C,2,1.19,119.28
2019_08_08_0069,1Bl,final,54,1.07,84.46,78.78787879,3,Pacific,8.0C,2,0.93,73.58
2019_08_08_0069,1Gr,final,54,1.13,89.4,78.78787879,3,Pacific,8.0C,2,1.04,82.07
2019_08_08_0069,1Or,final,54,2.19,172.26,78.78787879,3,Pacific,8.0C,2,1.07,83.95
2019_08_08_0069,1Pu,final,54,1.03,81.18,78.78787879,3,Pacific,8.0C,2,0.89,70.08
2019_08_08_0069,1Rd,final,54,1.2,94.61,78.78787879,3,Pacific,8.0C,2,1.02,80.34
2019_08_08_0069,1Si,final,54,1.25,98.41,78.78787879,3,Pacific,8.0C,2,1.04,82.16
2019_08_08_0069,1Wh,final,54,1.55,121.86,78.78787879,3,Pacific,8.0C,2,1.01,79.6
2019_08_08_0069,2Bl,final,54,1.39,109.57,78.78787879,3,Pacific,8.0C,2,1.09,86.09
2019_08_08_0069,2Gr,final,54,2.14,168.43,78.78787879,3,Pacific,8.0C,2,1.49,117.41
2019_08_08_0069,2Or,final,54,1.16,91.05,78.78787879,3,Pacific,8.0C,2,0.87,68.26
